LISTA,CANDIDATO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ILARIA CARONI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,EDOARDO ANNUCCI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,CATIA D'OTTAVI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LEONE ANTENONE
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,MARGHERITA DI GIAMMARCO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,MATTEO CASILLI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,MARIA ADDOLORATA FIERMONTE
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,CARLO MARIA FABRIZI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,HELEN FIORETTI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SIMONE IENUSO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ALICE FIORI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LUCA LA BARBERA
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SABRINA GALLONI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,FLORESTANO PASTORE
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DENISE GONZALEZ ARIAS
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,FILIPPO RINIOLO
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DANIELA MANCINI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,FABIO SALANDRI
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,NICOLO' SANTONE
ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ALEXANDER EDWARD WINTER
PD PARTITO DEMOCRATICO,MAURA LOSTIA
PD PARTITO DEMOCRATICO,FABRIZIO BALDACELLI
PD PARTITO DEMOCRATICO,SIMONA CIAFFI
PD PARTITO DEMOCRATICO,GIAMPIERO BUTTITTA
PD PARTITO DEMOCRATICO,TIZIANA CIAVARDINI
PD PARTITO DEMOCRATICO,DAVID DI COSMO
PD PARTITO DEMOCRATICO,SABRINA CICCONETTI
PD PARTITO DEMOCRATICO,GABRIELE ARCANGELO GRANDONI
PD PARTITO DEMOCRATICO,OLGA DI CAGNO
PD PARTITO DEMOCRATICO,FRANCESCO LAMANNA
PD PARTITO DEMOCRATICO,ALESSANDRA DI FRANCIA
PD PARTITO DEMOCRATICO,ANTONIO LIANI
PD PARTITO DEMOCRATICO,CECILIA FANNUNZA
PD PARTITO DEMOCRATICO,ANTONIO MEDEA
PD PARTITO DEMOCRATICO,ANGELA MONTEROSSO
PD PARTITO DEMOCRATICO,FRANCO PACELLA
PD PARTITO DEMOCRATICO,TATIANA PROCACCI
PD PARTITO DEMOCRATICO,MARCO PIETROSANTI
PD PARTITO DEMOCRATICO,CLAUDIO POVERINI
PD PARTITO DEMOCRATICO,SAMANTHA SACCA'
PD PARTITO DEMOCRATICO,MARCO TOTI
PD PARTITO DEMOCRATICO,EUSEBIO VALENTI
