SEZIONE,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,LISTA CIVICA GUALTIERI SINDACO,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,REVOLUZIONE CIVICA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,RICONQUISTARE L'ITALIA,LIBERISTI ITALIANI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,NOI X IL 9 MUNICIPIO,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
1562,3,18,70,4,8,3,10,0,0,0,0,2,15,62,14,8,15,97,1,6,17,353,9,0.610726643598616
1563,0,25,54,2,4,4,3,1,0,0,0,1,8,34,15,4,5,86,1,6,6,259,9,0.548728813559322
1564,7,34,98,9,6,6,9,2,3,1,0,1,37,82,43,15,20,145,1,17,13,549,9,0.580952380952381
1565,6,22,81,7,4,2,1,2,4,0,0,0,21,79,27,7,17,125,0,4,10,419,9,0.5943262411347517
1566,0,27,66,7,3,7,7,6,0,2,1,0,16,65,34,12,7,141,0,16,10,427,9,0.5897790055248618
1567,1,15,95,7,9,6,2,2,1,2,0,2,28,69,13,3,21,107,5,18,16,422,9,0.4
1568,3,28,90,7,13,12,8,0,3,3,0,5,12,73,18,5,16,114,4,17,33,464,9,0.5672371638141809
1569,3,27,101,6,8,18,2,1,7,2,1,2,17,81,18,6,12,111,10,23,26,482,9,0.6025
1603,3,42,108,57,20,3,8,4,3,2,0,0,38,114,10,19,13,107,4,46,83,684,9,0.5953002610966057
1605,3,46,106,9,17,11,10,2,1,0,0,9,28,100,23,4,8,106,3,27,39,552,9,0.5941872981700753
1606,3,32,97,11,15,1,2,5,1,1,0,3,23,81,21,8,10,119,1,17,29,480,9,0.5206073752711496
1607,0,40,61,7,13,4,4,0,1,0,3,1,20,79,10,6,7,90,1,28,25,400,9,0.4024144869215292
1608,1,28,122,10,23,1,3,1,4,2,1,7,24,70,21,9,10,98,1,15,17,468,9,0.5777777777777777
1609,1,35,142,6,28,10,6,0,4,4,0,5,13,62,18,12,5,82,1,25,15,474,9,0.5801713586291309
1610,2,33,102,6,28,12,5,2,2,1,0,2,29,79,20,7,12,116,2,21,25,506,9,0.5959952885747939
1611,1,12,41,3,9,0,1,1,1,1,0,3,27,72,14,4,17,23,0,20,37,287,9,0.40308988764044945
1612,1,18,62,4,18,2,6,6,2,1,0,0,17,87,11,11,4,28,1,40,38,357,9,0.4501891551071879
1613,1,18,64,5,6,2,5,17,8,0,2,5,24,48,8,8,7,48,0,26,24,326,9,0.47941176470588237
1614,1,25,71,2,17,5,8,5,1,1,4,2,27,44,9,4,11,34,0,21,28,320,9,0.48120300751879697
1615,1,10,62,3,14,1,12,1,0,0,0,2,16,53,10,7,5,31,0,17,28,273,9,0.4206471494607088
1616,3,32,97,7,14,15,4,2,1,1,0,6,14,52,12,3,12,66,1,23,27,392,9,0.5399449035812672
1617,1,5,59,8,12,6,3,4,0,1,0,5,16,62,6,4,3,26,0,33,30,284,9,0.398876404494382
1618,1,7,31,1,3,0,3,0,0,0,0,2,10,82,14,12,6,8,1,14,24,219,9,0.3348623853211009
1619,0,3,26,1,3,4,1,0,1,3,0,7,17,138,14,2,5,7,1,12,38,283,9,0.4255639097744361
1620,1,8,50,2,1,5,1,0,2,1,1,2,23,57,18,3,6,12,0,19,24,236,9,0.38003220611916266
1621,3,11,49,3,10,2,1,4,0,0,0,3,24,49,9,6,11,34,0,19,24,262,9,0.4062015503875969
1622,4,7,33,0,4,6,2,0,0,1,1,2,19,47,15,5,6,18,1,15,26,212,9,0.3261538461538461
1623,4,29,77,7,29,8,11,7,1,3,0,8,15,100,17,7,14,62,0,26,40,465,9,0.6848306332842415
1625,10,17,52,2,4,7,3,1,1,0,0,1,35,62,17,7,7,18,0,23,34,301,9,0.48863636363636365
1626,10,22,136,8,24,5,11,6,1,0,2,8,22,70,10,5,9,54,2,31,38,474,9,0.7707317073170732
