SEZIONE,GIORGIA MELONI FRATELLI D'ITALIA,POTERE AL POPOLO,REVOLUZIONE CIVICA,MOVIMENTO IDEA SOCIALE M.I.S.,PARTITO COMUNISTA MARCO RIZZO,DEMOS DEMOCRAZIA SOLIDALE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CALENDA SINDACO,RICONQUISTARE L'ITALIA,MOVIMENTO STORICO ROMANO LISTA NERONE,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,LISTA CIVICA LE TORRI NICOLA FRANCO PRESIDENTE,TOTALE,MUNICIPIO,AFFLUENZA
774,49,1,5,4,0,1,6,4,37,7,1,2,18,0,15,22,40,13,47,12,12,0,296,6,0.4567901234567901
775,70,2,1,0,4,0,2,4,48,13,3,1,29,2,6,38,48,12,29,33,10,2,357,6,0.2660208643815201
776,88,8,3,4,3,4,7,3,40,16,0,0,25,0,0,32,48,13,49,30,25,1,399,6,0.35
777,130,3,0,2,4,0,2,5,63,16,4,0,32,1,2,44,56,9,66,31,14,2,486,6,0.47834645669291337
778,96,5,0,1,2,4,5,7,75,23,1,1,48,1,4,34,39,14,47,22,15,2,446,6,0.4215500945179584
779,94,2,3,1,7,4,6,2,40,25,1,1,18,0,0,31,49,15,66,30,11,1,407,6,0.42132505175983437
780,110,2,2,3,11,3,4,3,68,29,6,4,48,0,2,41,67,8,69,43,15,3,541,6,0.5503560528992879
781,79,13,7,8,2,1,0,1,50,6,2,0,21,1,0,29,55,14,53,53,13,1,409,6,0.3272
782,95,4,10,2,6,3,3,8,44,11,3,1,24,1,0,49,47,15,72,30,11,2,441,6,0.39480752014324083
783,97,1,0,2,4,2,5,8,29,16,4,3,39,1,1,26,39,17,65,13,12,2,386,6,0.4431687715269805
784,108,4,2,7,1,0,4,4,56,18,3,1,51,1,0,35,62,15,61,19,11,4,467,6,0.42687385740402195
785,158,1,5,0,0,0,3,7,59,16,2,0,9,0,0,21,61,21,67,25,18,0,473,6,0.4167400881057269
786,71,1,1,2,2,1,3,4,69,11,3,1,20,0,0,20,33,14,40,25,15,2,338,6,0.46879334257975036
787,100,3,6,4,2,1,5,1,54,16,1,1,60,1,1,37,59,14,59,35,14,0,474,6,0.4553314121037464
788,95,5,6,3,4,1,5,2,48,18,4,0,35,1,0,37,57,19,35,60,15,0,450,6,0.4065040650406504
789,110,3,2,2,0,1,1,2,62,16,5,1,26,3,1,40,82,15,57,32,15,0,476,6,0.45550239234449763
790,92,2,12,4,5,2,7,2,67,16,1,0,17,1,1,23,53,6,46,28,14,3,402,6,0.47461629279811096
791,83,1,0,1,7,2,5,1,68,10,2,0,21,0,1,41,60,11,48,22,11,0,395,6,0.433589462129528
792,100,0,7,3,8,1,6,4,73,25,1,0,36,0,2,29,66,12,52,50,3,0,478,6,0.4509433962264151
793,68,5,1,5,0,1,7,1,19,50,2,1,25,0,2,38,37,14,57,52,7,22,414,6,0.4074803149606299
794,77,3,1,3,1,3,2,3,71,10,1,3,25,0,0,43,68,12,52,26,14,0,418,6,0.4110127826941986
795,147,3,0,2,3,6,10,6,101,15,7,0,38,1,0,65,73,15,60,28,18,6,604,6,0.5071368597816961
796,95,2,6,2,9,0,7,4,56,15,6,2,29,1,1,32,55,16,44,22,14,0,418,6,0.4134520276953511
797,153,7,11,2,38,5,2,1,59,13,3,1,38,0,3,42,52,5,51,22,8,1,517,6,0.5004840271055179
