SEZIONE,CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC,LISTA CIVICA VIRGINIA RAGGI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,PICCA PRESIDENTE,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,POTERE AL POPOLO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,REVOLUZIONE CIVICA,CALENDA SINDACO,RICONQUISTARE L'ITALIA,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE - LABORATORIO CIVICO X -,LISTA CIVICA GUALTIERI SINDACO,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
2257,4,29,3,55,15,90,4,12,35,8,4,1,31,0,90,8,7,15,7,15,7,80,520,10,0.483271375464684
2515,5,17,4,36,22,144,10,8,18,1,0,11,60,6,58,11,2,9,6,15,2,40,485,10,0.4650047938638543
2516,3,23,8,87,11,109,5,9,12,9,2,3,31,4,74,11,11,13,4,26,3,93,551,10,0.43695479777954005
2532,8,35,4,46,10,94,5,27,7,4,0,1,68,1,91,4,4,28,2,18,5,79,541,10,0.5065543071161048
2536,6,28,6,43,11,84,10,7,13,7,3,13,23,2,78,6,4,17,5,10,1,75,452,10,0.42601319509896324
2538,19,22,3,60,22,102,7,11,27,5,1,3,21,1,72,1,3,6,6,7,6,107,512,10,0.4200164068908942
2548,42,26,7,46,17,134,14,4,23,1,2,4,70,0,72,2,3,9,5,15,3,43,542,10,0.5127719962157048
2552,1,2,0,30,0,46,0,6,10,0,1,4,10,0,35,6,1,12,7,3,1,34,209,10,0.21196754563894524
2556,3,30,18,66,16,103,9,15,23,2,1,2,27,1,82,3,6,5,3,7,3,117,542,10,0.44029244516653127
2560,29,32,2,31,13,124,15,10,25,5,5,8,56,3,90,10,1,5,5,15,2,76,562,10,0.44251968503937006
2591,1,0,1,3,0,7,0,2,4,0,1,0,1,0,4,0,0,1,0,1,0,3,29,10,
2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
